id,author
978-7-5136-5256-8,中国冶金科工股份有限公司企业文化部
978-7-303-23758-6,沈越
978-7-5647-6156-1,李海霞
978-7-5565-0969-0,蒋明
978-7-5690-1728-1,熊华夏
978-7-5013-6398-8,释僧?
978-7-5141-9433-3,盛和泰
978-7-5098-4659-9,中共莱芜市委党史研究室
978-7-5327-7974-1,高大伟(DavidGosset)
978-7-5143-7102-4,她总
978-7-222-17485-6,中共云南省委党校
978-7-01-019972-6,祝灵君
978-7-5153-5342-5,王玉
978-7-5192-4840-6,中国国家博物馆
978-7-5077-5514-5,张明明
978-7-208-15183-3,徐洪兴
978-7-5525-4511-1,彭家勇
978-7-5201-2741-7,陶一桃
978-7-5510-1850-0,王金红
978-7-5480-6297-4,任犀然
978-7-5098-4967-5,中共咸阳市委党史研究室
978-7-5486-1457-9,中共上海市静安区委党史研究室
978-7-5447-7394-2,江苏省文物局
978-7-5449-6586-6,金应俊
978-7-5126-6620-7,孙琳
978-7-5594-1270-6,俊平大魔王
978-7-108-06408-0,柯律格(CraigClunas)
978-7-108-06408-0,黄小峰
978-7-308-18335-2,秦玉才
978-7-5086-9234-0,王福重
978-7-5561-1837-3,文热心
978-7-122-31020-0,卜二郎
978-7-5095-8484-2,陈东升
978-7-5510-1852-4,王金红
978-7-5581-5813-1,安大人
978-7-5379-7953-5,《小学生守则实践手册》编写组
978-7-5201-3150-6,林默彪
978-7-5102-2226-9,洪星
978-7-5203-3702-1,曹永峰
978-7-5197-2465-8,法律出版社法规中心
978-7-5098-2792-5,中共中山市委党史研究室
978-7-5098-4757-2,琼中黎族苗族自治县党史县志办公室
978-7-5649-3254-1,李东红
978-7-302-50871-7,梁旭
978-7-5008-6710-4,中国石油江苏销售公司
978-7-5002-8568-7,田余庆
978-7-5692-3258-5,申仁柏
978-7-208-15228-1,徐兆寿
978-7-5198-2808-0,国网杭州供电公司
978-7-5075-4896-9,张洋
978-7-5598-1555-2,宋立林
978-7-5513-1499-2,布丽吉特・库恩
978-7-5513-1499-2,罗小连
978-7-5197-2896-0,陈灿平
978-7-5544-3020-0,罗艳平
978-7-206-14799-9,吉林省人民政府调查研究室
978-7-111-60098-5,张默闻
978-7-5162-1794-8,于越
978-7-313-18866-3,程颖
978-7-211-07987-2,江冰
978-7-01-019365-6,习近平
978-7-5516-1668-3,《人人都是管理者》编委会
978-7-5464-2213-8,迟双明
978-7-310-05640-8,陟云子
978-7-5126-6832-4,政协潍坊市寒亭区委员会
978-7-5087-6066-7,中华人民共和国民政部
978-7-308-18796-1,唐燮军
978-7-5201-2692-2,张占仓
978-7-5598-0937-7,麦永雄
978-7-121-34522-7,茶文
978-7-5334-7986-2,聂德宁
978-7-210-11037-8,武宁县工业志编纂委员会
978-7-101-13520-6,泰安市档案馆
978-7-5141-9472-2,许明月
978-7-5615-6880-4,会计职业教育专业委员会编委会
978-7-108-06273-4,王春瑜
978-7-5639-5796-5,李乡状
978-7-5183-2953-3,蜀南气矿人事科蜀南气矿党委组织部
978-7-5109-2366-1,江必新
978-7-5109-2270-1,龙光伟
978-7-03-058828-9,魏曙光
978-7-218-12677-7,中山市委办公室
978-7-03-055603-5,何泽恒
978-7-5051-3459-1,《最新办公室工作管理全书》编写组
978-7-206-15617-5,李艳华
978-7-5426-6214-9,魏燕利
978-7-5109-2087-5,广东省高级人民法院
978-7-5348-7896-1,商城县人大常委会
978-7-5106-6431-1,董浩
978-7-5690-2675-7,四川大学古籍整理研究所
978-7-5449-6404-3,严歌
978-7-5449-6404-3,金顺姬
978-7-212-10277-7,吴怀东
978-7-205-09305-1,中共中央文献研究室
978-7-5360-8675-3,聂作平
978-7-5087-5942-5,夏懿
978-7-5369-7208-7,刘俊康
978-7-5472-5475-2,高文斐
978-7-5688-5000-1,王冬梅
978-7-5130-5427-0,范周
978-7-5518-1743-1,曾国藩
978-7-5518-1743-1,胡艳丽
978-7-5120-3186-9,梅痴彬子
978-7-5099-0984-3,《党支部工作记实手册》编写组
978-7-5520-2528-6,孙林
978-7-5197-2098-8,张廉
978-7-111-61453-1,王海军
978-7-213-09080-6,中共绍兴市委党史研究室
978-7-5488-3498-4,中共济南市委党史研究室
978-7-5618-6295-7,苏东海
978-7-5610-9102-9,凌绍崇
978-7-5203-3550-8,李宏飞
978-7-5407-8418-8,中共防城港市委党史研究室
978-7-5126-6634-4,苏忠
978-7-5552-7772-9,中共青岛市委党史研究室
978-7-214-21877-3,《高质量建设强富美高新江苏:2017年江苏省政府决策咨询研究重点课题成果汇编》编写组
978-7-5576-5339-2,万舒欣
978-7-5199-0404-3,余海
978-7-5642-2944-3,高晓萍
978-7-100-16354-5,海德格尔
978-7-100-16354-5,陈嘉映
978-7-100-16354-5,王庆节
978-7-5429-5959-1,李静
978-7-209-11390-8,刘慧
978-7-5183-2614-3,西南油气田分公司川西北气矿人事科（党委组织部）
978-7-5610-9331-3,吴相凯
978-7-5085-3726-9,张明转
978-7-5085-3726-9,布鲁诺・M.普埃列斯
978-7-5096-5663-1,寇静
978-7-212-10294-4,政协安徽省委员会
978-7-108-06168-3,杜庆余
978-7-5396-6329-6,吴泰昌
978-7-5449-6618-4,金正权
978-7-80770-128-6,中共贵州省委宣传部
978-7-212-10477-1,许兵
978-7-5702-0681-0,张召忠
978-7-02-014299-6,胡其瑞
978-7-02-014299-6,杨濡豪
978-7-216-09463-4,邓宏兵
978-7-5141-9432-6,贾明建
978-7-5026-4642-4,谭旭光
978-7-208-15484-1,叶廷芳
978-7-208-15484-1,衢州市政协文史资料委员会
978-7-5506-2852-6,刘满华
978-7-5362-6698-8,佛山市文学艺术界联合会
978-7-5350-7666-3,朱自清
978-7-5190-3460-3,鬼谷子
978-7-5190-3460-3,徐磊
978-7-5429-5958-4,会计资格考试精品辅导教材编委会
978-7-5142-2418-4,中国印刷技术协会
978-7-5647-5627-7,陶泱霖
978-7-5198-2394-8,《国网河南省电力公司年鉴》编辑委员会
978-7-5596-1586-2,馨竹
978-7-5047-6713-4,刘云枫
978-7-5200-0210-3,张旋
978-7-5651-3712-9,程杰
978-7-5141-9603-0,冯志军
978-7-5180-4708-6,蔡万刚
978-7-5576-5649-2,李弘扬
978-7-213-09121-6,黄宇
978-7-226-05274-7,读者丛书编辑组
978-7-214-21964-0,江苏省宁宿迁徐高速公路有限公司
978-7-214-21964-0,孙雷
978-7-5201-3630-3,朱?
978-7-5581-5447-8,刘邦凡
978-7-5199-0113-4,欧阳旭辉
978-7-5098-4731-2,中共中山市委党史研究室
978-7-5098-4731-2,黄春华
978-7-5077-5374-5,赵信
978-7-5096-6285-4,钟业喜
978-7-5582-2519-2,刘石
978-7-5170-7138-9,王映川
978-7-5348-7709-4,李耀曾
978-7-03-055371-3,国网湖南省电力公司经济技术研究院
978-7-5690-1779-3,李家俊
978-7-313-19341-4,许建强
978-7-5511-4218-2,四月默
978-7-5152-1816-8,杜铭
978-7-5116-3584-6,袁春新
978-7-5104-6539-0,春苗
978-7-5404-8797-3,卢思浩
978-7-100-16563-1,士尔
978-7-218-12650-0,西闪
978-7-5535-1447-5,袁智
978-7-5506-2875-5,罗振玉
978-7-5506-2875-5,张小也
978-7-5680-3687-0,止庵
978-7-5699-2339-1,张红利
978-7-5210-0159-4,屹林文化传媒丝路斗士创作团队
978-7-5210-0159-4,袁明
978-7-5210-0159-4,王广涛
978-7-5564-2626-3,唐明邦
978-7-5203-2010-8,白娴棠
978-7-5093-9303-1,王爱立
978-7-5407-8428-7,栗子
978-7-5214-0326-8,于春泉
978-7-5488-2887-7,张彩霞
