id,subBooks
978-7-5013-6398-8,国学基本典籍丛刊
978-7-5192-4840-6,文物中国史
978-7-208-15183-3,复旦中国哲学书系
978-7-5486-1457-9,上海改革开放40年口述系列丛书
978-7-5594-1270-6,抹香鲸
978-7-108-06408-0,开放的艺术史丛书
978-7-5201-3150-6,哲学与社会发展文丛
978-7-5002-8568-7,中国大百科全书名家文库
978-7-5513-1499-2,改变世界的传奇人物
978-7-308-18796-1,宁波学术文库
978-7-5201-2692-2,河南蓝皮书
978-7-5334-7986-2,图说福建与海上丝绸之路
978-7-101-13520-6,抗日战争档案汇编
978-7-5615-6880-4,2018年全国会计专业技术资格考试100小时搞定初级系列丛书
978-7-108-06273-4,大家说历史
978-7-5109-2366-1,十九大与新时代中国司法的理念、政策与机制
978-7-212-10277-7,安徽历史名人传记
978-7-205-09305-1,领袖画传系列
978-7-5369-7208-7,中国史前遗址博物馆
978-7-5518-1743-1,国学经典10元本
978-7-111-61453-1,汽车行业质量管理实用指南系列
978-7-5126-6634-4,福建散文诗八家
978-7-100-16354-5,汉译世界学术名著丛书
978-7-5429-5959-1,去梯言
978-7-209-11390-8,中华泰山文库
978-7-5085-3726-9,追梦中国 : 商界领袖系列
978-7-108-06168-3,周易文化讲论
978-7-5396-6329-6,皖籍名家吴泰昌集
978-7-02-014299-6,名人传
978-7-208-15484-1,衢州市政协文史资料丛书
978-7-5506-2852-6,泰州文艺评论丛书
978-7-5350-7666-3,在读文库
978-7-5190-3460-3,三读书馆雅藏丛林 : 宣纸珍藏版
978-7-5651-3712-9,中华文化修养丛书
978-7-213-09121-6,浙江蓝皮书
978-7-226-05274-7,读者丛书
978-7-5348-7709-4,中国理学文化丛书
978-7-5690-1779-3,百年峨眉系列
978-7-5214-0326-8,写给老百姓的中医养生书系
978-7-02-014291-0,名人传
978-7-5704-0707-1,名师成长系列
978-7-226-05284-6,读者丛书
978-7-5077-5558-9,中国文化在世界书系
978-7-5002-8553-3,中国大百科全书名家文库
978-7-5486-1442-5,冈特生态童书
978-7-200-13766-8,季羡林经典文丛
978-7-5086-9103-9,中国文化大家系列
978-7-5533-2207-0,抗战十四年・中华儿女传奇
978-7-5569-1299-5,纸阅读文库
978-7-5403-4869-4,韬略平天下
978-7-5325-8809-1,m崎市定亚洲史论考
978-7-101-13390-5,历代纪事本末 : 简体横排本
978-7-5126-6802-7,冬季恋歌
978-7-5095-8533-7,中国财政科学研究院智库丛书
978-7-121-33116-9,华信经管创新系列
978-7-115-48764-3,学术中国
978-7-5110-4302-3,少儿当代科技百科全书
978-7-121-33090-2,前端工程化系列
978-7-5455-3791-8,小牛顿新兴科技系列
978-7-5621-9369-2,“青少年互联网素养”丛书
978-7-111-60025-1,阿里工程师系列
978-7-5214-0064-9,简易疗法治百病丛书
978-7-03-059102-9,国家社科基金后期资助项目
978-7-5625-4268-1,YHID互联网全栈开发
978-7-115-47300-4,图灵程序设计丛书
978-7-101-13163-5,跟名家读经典
978-7-5126-6683-2,思耘文集
978-7-5170-6730-6,高校经典教材同步辅导丛书
978-7-5473-1351-0,爱情书房
978-7-5680-4044-0,少年励志成长文学系列
978-7-5135-9889-7,世界名人小传英汉双语阅读
978-7-214-22499-6,大丰区地方志丛书
978-7-5167-3494-0,人力资源和社会保障政策法规丛书
978-7-5085-3981-2,我们和你们
978-7-5213-0323-0,世界名人小传英汉双语阅读
978-7-5658-3335-9,《中华人民共和国刑事诉讼法》学习读本
978-7-215-11270-4,历代全集丛刊
978-7-5051-4768-3,刻意练习
978-7-5597-0570-9,彩绘中国经典名著
978-7-5035-6285-3,中央党校思想库丛书
978-7-300-26050-1,华为营销方法丛书
978-7-300-26033-4,西方心理学大师经典译丛
978-7-5213-0322-3,世界名人小传英汉双语阅读
978-7-121-33583-9,创新与研发管理系列丛书
978-7-5658-3562-9,英语专业“十三五”规划应用型专业建设系列丛书
978-7-5702-0415-1,国学经典丛书
978-7-214-20727-2,“同一颗星球”丛书
978-7-5674-1551-5,东北林业大学研究生优秀教材系列丛书
978-7-01-018876-8,马克思诞辰200周年纪念特辑
978-7-01-019508-7,中国哲学青年学术文库
978-7-5658-3523-0,养殖管理法律法规学习读本
978-7-5476-1406-8,中国金融变迁研究系列
978-7-5596-2646-2,纸片人斯坦利环球历险记
978-7-5432-2937-2,中国改革开放40年研究丛书
978-7-5203-2110-5,中国社会科学院学部委员专题文集
978-7-5203-3836-3,马克思主义专题研究论丛
978-7-5642-3148-4,世界公益与慈善经典译丛
978-7-5506-2717-8,名家视角丛书
978-7-5488-3093-1,“讲好中国故事”系列丛书
978-7-5015-9788-8,中华优秀传统文化读本
978-7-5095-8115-5,中财传媒版2018年注册会计师全国统一考试辅导系列丛书
978-7-02-013994-1,教育部统编《语文》推荐阅读丛书
978-7-101-13423-0,大兴善寺文献丛书
978-7-5192-5304-2,多省市公务员联考轻松学系列
978-7-5126-5795-3,岁月集
978-7-5507-2233-0,世界文学经典读本
978-7-214-22295-4,社科文库
978-7-5103-2642-4,“一带一路”国别商务丛书
978-7-5462-2837-2,明代心学宗师陈献章丛书
978-7-5628-5515-6,玛丽・埃伦・里士满社会工作全集
978-7-203-10631-9,火金投资理财丛书
978-7-5141-9443-2,创业儿童
978-7-5692-2761-1,读经典
978-7-5623-5841-1,经典诵读丛书
978-7-5690-2034-2,青少年心理深呼吸丛书
978-7-224-12701-0,走进延安革命纪念地系列丛书
978-7-5212-0176-5,文学宁夏丛书
978-7-115-47391-2,新商科人才培养系列工具书
978-7-100-15632-5,学生国学丛书新编
978-7-115-49738-3,新零售门店运营与创新实践丛书
978-7-5596-2642-4,纸片人斯坦利环球历险记
978-7-108-06220-8,茅海建戊戌变法研究
978-7-227-06907-2,宁夏人文地理新探丛书
978-7-5490-1554-2,西夏学文库
978-7-227-06900-3,当代应用人类学丛书
